timestep [],time [Myr],sac_1 [m],sac_2 [m],sac_3 [m]
0,0.0,0.0,0.0,0.0
1,0.0002,0.0,0.06805959867196343,0.019999769965029005
2,0.0004,0.08127187134512158,0.06643240223932376,0.04003103120534382
3,0.0006,0.08126576047103606,0.0650456199747555,0.0600185611014175
4,0.0008,0.152388810180431,0.0639147033986906,0.0799577749690795
5,0.001,0.15398080015142387,0.06316899374622158,0.09984440718016982
6,0.0012,0.23309136513083162,0.06331805227706375,0.11967426871632081
7,0.0014,0.3092883358516281,0.06364402008240613,0.1395046683172063
8,0.0016,0.30893590133406745,0.06959836835833544,0.1394495421627285
9,0.0018,0.38749491579854106,0.07053446474037245,0.13943968482769603
10,0.002,0.38719807272398105,0.1508337771358712,0.1920179379664551
11,0.0022,0.45523631141911447,0.2283613924284048,0.24321026751083075
12,0.0024,0.45475237505781635,0.22868743749296722,0.29235460641137956
13,0.0026,0.4642584078652954,0.22900891913150348,0.29273987354318237
14,0.0028,0.4726887285113336,0.22932946102651008,0.3415545852864776
15,0.003,0.47246070780277744,0.3026773337201472,0.3408771035103124
16,0.0032,0.480053587896298,0.3775155438491332,0.34020388181463257
17,0.0034,0.48983144275260937,0.3772066209938341,0.3397587021791275
18,0.0036,0.4898679177881855,0.37702564291008756,0.3578683381312646
19,0.0038,0.4947111855619375,0.4496969189262413,0.3757908903764656
20,0.004,0.5004895839572042,0.5215931787385337,0.3935329344035292
21,0.0042,0.5089428491544393,0.5926453691588706,0.41119056147246014
22,0.0044,0.5141051737582302,0.6643937880914361,0.4284528965747434
23,0.0046,0.5259044715473019,0.6638608528565098,0.4458875926016302
24,0.0048,0.5257441057521043,0.6649691821838569,0.4632437826211885
25,0.005,0.5369065031685443,0.6650115610605641,0.48043123184274045
26,0.0052,0.536712388872343,0.6650489710107899,0.48000798089842267
27,0.0054,0.547438399971762,0.6650551223386738,0.4796434537353596
28,0.0056,0.5473240270326243,0.6650559858048133,0.47970214999853483
29,0.0058,0.5472341300179926,0.6662504370984375,0.4792091079271966
30,0.006,0.5573925471517104,0.7444638700720456,0.4787651576256803
31,0.0062,0.5573901801788015,0.8188830786528927,0.47830249014792625
32,0.0064,0.5574075860012669,0.8913460237032444,0.496108499841202
33,0.0066,0.561135158148401,0.8931831233090597,0.5138196271627238
34,0.0068,0.5648449269872808,0.8959771594989017,0.5138339340362352
35,0.007,0.5685303190702538,0.9704404809602758,0.5322500438304758
36,0.0072,0.5772116865494807,0.970251924871602,0.5501737680434273
37,0.0074,0.5775772818466639,0.9737229107806543,0.5680155687679751
38,0.0076,0.58616090160478,1.0494722015222413,0.5862069272200683
39,0.0078,0.5862548089484555,1.049259009715911,0.5855909290676811
40,0.008,0.5863597464480252,1.0490438062977387,0.6030698103741513
41,0.0082,0.5867709311645213,1.0488266557690211,0.6024514639507388
42,0.0084,0.5946450325774796,1.0547236241080238,0.6022815236860776
43,0.0086,0.5999149475839506,1.0620385094731901,0.6200489475439465
44,0.0088,0.6078365471192071,1.1343565482876097,0.6194290766674366
45,0.009,0.6082895312708023,1.2101554279676279,0.636985566958996
46,0.0092,0.6087463582200129,1.210083520973843,0.6550947916337597
47,0.0094,0.6251066019857894,1.212020063438542,0.6544521384100167
48,0.0096,0.6424336490790349,1.2342250071984469,0.6719754105996154
49,0.0098,0.6556801841998999,1.2543241149741724,0.6719230928721346
50,0.01,0.6695704286264296,1.2744358637447126,0.6900373018115464
51,0.0102,0.7574656873929859,1.2745546096653686,0.6899206271880601
52,0.0104,0.7712029896881778,1.3490675757691823,0.7068984933938565
53,0.0106,0.7897974375539665,1.4208604467934618,0.7242821071622145
54,0.0108,0.804843493049843,1.4900503920668196,0.7236062713138064
55,0.011,0.808997179853047,1.5493962915981199,0.7229350846178695
56,0.0112,0.8093220417982979,1.5480174166820313,0.7222685083890488
57,0.0114,0.8133486151591374,1.5466745885896938,0.7398606298709339
58,0.0116,0.8176024456063128,1.5453401183291875,0.741724986799146
59,0.0118,0.821759787467402,1.5440238861404854,0.787887309739922
60,0.012,0.829210055704905,1.5427261256918379,0.8267381671866697
61,0.0122,0.829545309355981,1.541446542205921,0.8259851407968695
62,0.0124,0.8298918545888025,1.5401632754762729,0.8252510509820872
63,0.0126,0.8302492175380837,1.538908199670529,0.827948078332538
64,0.0128,0.833519459039466,1.537650064637769,0.8693417862246451
65,0.013,0.8400842611518248,1.5364048506551191,0.8711426693636721
66,0.0132,0.8404492269645063,1.5351724382479075,0.8730404995356928
67,0.0134,0.8408243809450616,1.5339654211583886,0.8727211283407341
68,0.0136,0.8469749205562556,1.5327584679920012,0.8725417865479674
69,0.0138,0.8473465603872125,1.531567822812888,0.8725007735776972
70,0.014,0.8506023220527107,1.5303846477447247,0.872461623933139
71,0.0142,0.8510474262831549,1.5292138835511777,0.8915288948155629
72,0.0144,0.8515054248128281,1.5280554287110373,0.8914690623863312
73,0.0146,0.8570364763575553,1.5277966907115008,0.8914117584610997
74,0.0148,0.8575884501896364,1.544817300065775,0.8913569611626234
75,0.015,0.8605422653724772,1.5630540513700673,0.8913046152120546
76,0.0152,0.8656895675991815,1.5625628570255965,0.8912546861952116
77,0.0154,0.866157862087479,1.5809842712486093,0.8912071241724042
78,0.0156,0.8666313450793994,1.5995741217271005,0.891467978217376
79,0.0158,0.8672262463108007,1.5992334699955677,0.8914447451467629
80,0.016,0.8696987804822811,1.6236290249904324,0.8914287265908644
81,0.0162,0.8743308708948409,1.6486128200397505,0.891414994019965
82,0.0164,0.8769200628298696,1.6737571158663558,0.891403212013647
83,0.0166,0.8813674148658099,1.6993970189367718,0.8913933687520513
84,0.0168,0.8856863408313028,1.7172361651614259,0.8913854881505001
85,0.017,0.8898285127646784,1.7270479068703173,0.8913795563997188
86,0.0172,0.8939623125437833,1.7981708600255464,0.8913755204303444
87,0.0174,0.8944568424540094,1.7981667560897985,0.8913737743616239
88,0.0176,0.894954390194563,1.8069099303205636,0.8913748689216057
89,0.0178,0.9139448900542074,1.876316790217621,0.8913783727271665
90,0.018,0.9348244630867711,1.93620593655635,0.8913842581883594
91,0.0182,0.9370962801293169,1.9952277116668091,0.8913925297589321
92,0.0184,0.9409689748781648,2.052888870896718,0.891403233559438
93,0.0186,0.9433097357705497,2.051908318999126,0.9109308857766039
94,0.0188,0.96432194003047,2.051205294961037,0.9117950510872205
95,0.019,0.9647638264419717,2.0505566678717666,0.9315967254578364
96,0.0192,0.9652106482540627,2.0499133654045667,0.9318679685089499
97,0.0194,0.9656621912278082,2.049275614532564,0.9319341050412031
98,0.0196,0.966117892049745,2.1188046252165558,0.9320037586648814
99,0.0198,0.9666295756331149,2.1182400312115472,0.9320768286077206
100,0.02,0.9671113621350961,2.1261022518497867,0.9321532415531188
101,0.0202,0.9689618327612304,2.1970100513892263,0.9322329241949929
102,0.0204,1.0394956353062914,2.1966063101754894,0.9323157874670679
103,0.0206,1.0401068498104822,2.196207678037284,0.932401806045523
104,0.0208,1.0406741405511117,2.1958140778508644,0.9324909850108576
105,0.021,1.0412027187372863,2.2044429310593547,0.9326656631546029
106,0.0212,1.0416970659965352,2.268377500132033,0.9329822249814314
107,0.0214,1.0439614795092977,2.3308311662162584,0.9333113321928089
108,0.0216,1.0646225724975824,2.3303729549644707,0.933682879606288
109,0.0218,1.0856929602482002,2.338919452989696,0.934097055115744
110,0.022,1.1052804555834517,2.347629298333324,0.9543674924514788
111,0.0222,1.1061274184983052,2.415938424196219,0.9744592207747358
112,0.0224,1.1069634046296921,2.483748641160527,0.9944018608628473
113,0.0226,1.1094399913262707,2.4838007525717427,1.0174412092872585
