timestep [],time [Myr],sac_1 [m],sac_2 [m],sac_3 [m]
0,0.0,0.0,0.0,0.0
1,0.0002,0.0,0.05104469900397257,0.014999827473771755
2,0.0004,0.06075486681365486,0.05831541983230301,0.031273562383528596
3,0.0006,0.07356503499586853,0.05850756683288264,0.050334077597621395
4,0.0008,0.13036153879526668,0.05739478419538904,0.0700412895791548
5,0.001,0.14398539849314798,0.05638469314953375,0.08985373068020028
6,0.0012,0.2068987950011124,0.056120679629502845,0.10963124345729157
7,0.0014,0.28008112067204965,0.05632659638828383,0.12937721347354805
8,0.0016,0.2976638562569374,0.06126705727079379,0.1342010070109852
9,0.0018,0.3608691187528092,0.06454650984374544,0.13536258835497925
10,0.002,0.3759918170221979,0.12585450334837006,0.17528646523900226
11,0.0022,0.4309918077796434,0.2001508974468756,0.22328688223558274
12,0.0024,0.44238920212702765,0.21884304303248692,0.27141637530842533
13,0.0026,0.45206918173717137,0.22375596110675916,0.28189058233107644
14,0.0028,0.4646506093122333,0.22527634194303647,0.321415401812845
15,0.003,0.46760111537378807,0.28068465406070464,0.32942755529001616
16,0.0032,0.47680966802917474,0.3505844792130607,0.33054626415471544
17,0.0034,0.48652983140938555,0.36724253636506127,0.3303138291684779
18,0.0036,0.49179880327856973,0.37114569528516694,0.3437570373184584
19,0.0038,0.5130280320534529,0.42771679197125545,0.3602616866429541
20,0.004,0.5482044091654755,0.4966603616041856,0.3773196052500198
21,0.0042,0.6193840421790454,0.5679703381366874,0.39441088392079615
22,0.0044,0.6365603835473018,0.6407498166007496,0.411220211125607
23,0.0046,0.6425586458447226,0.6574237788097631,0.428014474217106
24,0.0048,0.6438586996579974,0.6626740726550531,0.4447653468292805
25,0.005,0.6441331319584634,0.668077705075418,0.4613800368814479
26,0.0052,0.6441899457381246,0.6762954186597685,0.46470647048535874
27,0.0054,0.6442015628758586,0.6783735967683632,0.46518124739094047
28,0.0056,0.6442039211075372,0.6788809246543869,0.4653346948191703
29,0.0058,0.6442043979966324,0.6799080088908847,0.4651076245119669
30,0.006,0.6442044942956348,0.7415575234005305,0.4646836661900175
31,0.0062,0.6442045137460986,0.8157565867868384,0.46423490327514744
32,0.0064,0.6442045176805232,0.8885781479409839,0.47755329375503935
33,0.0066,0.6442045184783171,0.9075359172239824,0.49399603542911164
34,0.0068,0.6442045186406063,0.9118613234476536,0.4976255983989834
35,0.007,0.6442045186737463,0.91284923986889,0.5123598799290706
36,0.0072,0.6442045186805431,0.9130753413322753,0.5300484098082001
37,0.0074,0.6442045186819437,0.9131272115302769,0.5369217097051551
38,0.0076,0.6442045186822338,0.9131391420259761,0.5386490720768579
39,0.0078,0.6442045186822942,0.9131418938423301,0.5390854196761453
40,0.008,0.6442045186823069,0.9131425304885917,0.539195819208312
41,0.0082,0.6442045186823095,0.9131426782601268,0.5392237432362174
42,0.0084,0.6442045186823101,0.9131427126782263,0.5392307971676226
43,0.0086,0.6442045186823102,0.9131427207239555,0.5392325758476846
44,0.0088,0.6442045186823102,0.9131427226119079,0.5392330234232033
45,0.009,0.6442045186823102,0.9131427230566533,0.5392331358045528
46,0.0092,0.6442045186823102,0.9131427231618389,0.5392331639611563
47,0.0094,0.6442045186823102,0.9131427231868154,0.5392331710007459
48,0.0096,0.6442045186823102,0.9131427231927698,0.5392331727571817
49,0.0098,0.6442045186823102,0.9131427231941949,0.5392331731945823
50,0.01,0.6442045186823102,0.9131427231945373,0.539233173303309
51,0.0102,0.6442045186823102,0.9131427231946198,0.5392331733302895
52,0.0104,0.6442045186823102,0.9131427231946397,0.5392331733369741
53,0.0106,0.6442045186823102,0.9131427231946446,0.5392331733386277
54,0.0108,0.6442045186823102,0.9131427231946458,0.5392331733390363
55,0.011,0.6442045186823102,0.9131427231946462,0.5392331733391371
56,0.0112,0.6442045186823102,0.9131427231946463,0.539233173339162
57,0.0114,0.6442045186823102,0.9131427231946463,0.5392331733391681
58,0.0116,0.6442045186823102,0.9131427231946463,0.5392331733391696
59,0.0118,0.6442045186823102,0.9131427231946463,0.53923317333917
